threshold,accuracy,f1,recall,precision,roc_auc
0.71,0.7666666666666667,0.0967741935483871,0.054945054945054944,0.40540540540540543,0.6252632660399652
0.72,0.7708333333333334,0.0802675585284281,0.04395604395604396,0.46153846153846156,0.6252632660399652
0.73,0.7733333333333333,0.0684931506849315,0.03663003663003663,0.5263157894736842,0.6252632660399652
0.74,0.77,0.03496503496503497,0.018315018315018316,0.38461538461538464,0.6252632660399652
0.75,0.7708333333333334,0.03508771929824561,0.018315018315018316,0.4166666666666667,0.6252632660399652
0.76,0.7708333333333334,0.021352313167259787,0.01098901098901099,0.375,0.6252632660399652
0.77,0.77,0.007194244604316547,0.003663003663003663,0.2,0.6252632660399652
0.78,0.7708333333333334,0.007220216606498195,0.003663003663003663,0.25,0.6252632660399652
0.79,0.77,0.0,0.0,0.0,0.6252632660399652
0.8,0.77,0.0,0.0,0.0,0.6252632660399652
0.81,0.7708333333333334,0.0,0.0,0.0,0.6252632660399652
0.82,0.7708333333333334,0.0,0.0,0.0,0.6252632660399652
0.83,0.7708333333333334,0.0,0.0,0.0,0.6252632660399652
0.84,0.7708333333333334,0.0,0.0,0.0,0.6252632660399652
0.85,0.7708333333333334,0.0,0.0,0.0,0.6252632660399652
0.86,0.7708333333333334,0.0,0.0,0.0,0.6252632660399652
0.87,0.7708333333333334,0.0,0.0,0.0,0.6252632660399652
0.88,0.7716666666666666,0.0,0.0,0.0,0.6252632660399652
0.89,0.7716666666666666,0.0,0.0,0.0,0.6252632660399652
0.9,0.7725,0.0,0.0,0.0,0.6252632660399652
